,0
432,156.04103991135682
433,142.47692761318228
434,152.98353114364747
435,153.98998902560484
436,154.64823921576692
437,211.35291256973463
438,157.14728153834196
439,164.9548501948843
440,161.1846802700694
441,159.50063398564447
442,168.09359176170415
443,148.15547963190207
444,178.4851618594767
445,199.49848349141487
446,190.86161467926436
447,165.63377935668944
448,215.04774030111565
449,146.08343203339186
450,218.22429843205023
451,225.9965539590295
452,169.44877198542702
453,161.73703020114402
454,175.48283671241677
455,163.23949903333508
456,156.27789293934953
457,173.37175530849672
458,151.61724012465095
459,172.48336603515887
460,164.4671373862982
461,143.6279970251294
462,160.4902509311414
463,150.7190651043344
464,149.63945109747294
465,190.06675539064855
466,176.47889175861033
467,252.8154138908169
468,157.92010697144664
469,192.4335322206637
470,166.8278796582288
471,210.03142190877435
472,159.17403860194318
473,163.07440804685857
474,152.61856018713212
475,145.9031968454874
476,182.85517459594072
477,168.46840082021433
478,211.70033394107878
479,160.00027082743023
480,174.95377997975817
481,185.50675489016925
482,153.56320510867704
483,153.10103803039436
484,156.72836394279136
485,145.21084528709218
486,174.95751771878994
487,144.33838634750555
488,144.67384571589082
489,148.29170520658968
490,169.86467485046344
491,170.55038090381024
492,142.95727670883983
493,177.65463409504733
494,172.75853822934903
495,181.22105388527117
496,197.2342553404984
497,179.24501881540323
498,209.94618803805014
499,167.22015513563386
500,225.7449754557695
501,151.99856841374935
502,176.32921640753787
503,185.04035283936176
504,155.39765884165558
505,193.40939671309275
506,187.01883585135016
507,145.28936108278722
508,150.29039376193523
509,219.49735051749124
510,158.8200730215811
511,148.9424783479076
512,161.8520344258994
513,157.42217376041168
514,156.7369153737674
515,175.57881227510399
516,164.57777790024417
517,197.3813087837982
518,220.42636432426468
519,190.072660175439
520,148.63679628525543
521,145.84307502201474
522,177.15891906127132
523,161.1798052006058
524,163.60600395340012
525,148.44878699931687
526,233.2362508551658
527,207.87428454262098
528,160.9173742151979
529,165.49228505062868
530,161.42311894249968
531,152.78005644114344
532,167.34766332501638
533,161.40720776612244
534,225.43567448127914
535,183.71231267252435
536,195.97189328219721
537,145.64572415744044
538,161.2538425929826
539,151.28054417407006
540,192.52296209479607
541,174.2978403882666
542,150.45685172905695
543,149.44300029086324
544,176.19962291200264
545,194.88443381067867
546,151.2678778924768
547,152.0360764304017
548,165.75911446482942
549,195.74309237952392
550,182.96821955359175
551,183.2939346604231
552,151.85684043901958
553,178.36510606322526
554,157.8570212088796
555,149.67658523283924
556,169.80936851565264
557,174.72670438306997
558,175.635742582933
559,208.61209489549336
560,170.78666931834925
561,146.23530714561417
562,202.16498790775648
563,165.5716398405862
564,149.064742565447
565,192.31163734583106
566,171.31045142276102
567,150.3812198974612
568,149.64664411706386
569,160.24152490499324
570,252.98132933748505
571,154.5335542326966
572,189.6322624004114
573,155.4775234756961
574,150.78582899955117
575,158.7775582180755
576,162.64104236102455
577,172.04612474610892
578,164.48465817664027
579,166.75255205676336
580,173.76184451574758
581,218.43702175150258
582,156.45589331585285
583,149.14445587051375
584,145.90336354062225
585,221.61470029452002
586,154.39815282937312
587,160.5231040809275
588,150.15703798755257
589,158.42988656547766
590,169.5147157639271
591,169.39707306676607
592,210.85147257064042
593,153.62276359424817
594,157.4268480650446
595,150.14355877229355
596,167.5801033692475
597,140.4339145826258
598,152.82005844505377
599,174.91102596931177
600,192.41042844747483
601,179.55166745719498
602,154.54386903547913
603,171.47080796779193
604,179.96969040138345
605,152.14798615008195
606,223.05182584586902
607,178.49056319591125
608,171.18689119739938
609,142.17963419057833
610,204.48444175170465
611,147.8313456570603
612,155.1433093396245
613,185.41481614746942
614,146.47426811541362
615,152.78898048973988
616,193.25298355299782
617,187.08458273188802
618,221.47201968081728
619,177.4422056514956
620,181.2077988040662
621,151.77111628239894
622,203.30181081223287
623,154.04963682333005
624,156.1988300146197
625,185.71010502945884
626,154.5614516765598
627,166.3334662895544
628,164.80962166586346
629,213.80979116182124
630,147.0768316670245
631,189.2771901812961
632,147.47174641793654
633,154.1799568602925
634,170.93565378843806
635,161.5837992423482
636,154.41657036180192
637,156.22566847824595
638,142.69916772684226
639,152.23719387554243
640,178.24891642046643
641,170.75977800913452
642,150.63965316061564
643,148.96339641129447
644,167.9443701668472
645,200.03298698568946
646,206.29566300354637
647,223.2700298245288
648,194.92652614759152
649,161.6382710609935
650,160.76629053510004
651,148.65749247714592
652,155.66890395528395
653,217.36517160195822
654,154.11352836805588
655,160.3571354314559
656,157.1717457701048
657,151.76862935693035
658,207.90560057458617
659,166.8718453049963
660,220.64871041871223
661,158.8600346300325
662,166.5740308232494
663,143.47660850334313
664,176.3641979959889
665,218.69636813368592
666,152.04635521085802
667,199.72174584478176
668,141.09585588061842
669,149.4183183914423
670,160.54985000415988
671,172.52750440823695
672,152.47413513423407
673,155.22331893795882
674,222.3821669325534
675,161.7684656681008
676,149.17375021368653
677,156.75311693274193
678,158.5342016256415
679,242.08146572534602
680,199.7747785124628
681,158.59062302704575
682,180.9053682963797
