,0.9
113,1.6400180382133867
114,2.081356851568843
115,1.620477758976636
116,2.1481887870323995
117,1.5796649225788246
118,2.632859355172803
119,1.8880564115838336
120,1.8430928525083208
121,2.576559940669027
122,2.046189455598709
123,2.544200759345389
124,1.5178299118047909
125,2.341920497737465
126,2.797233970464388
127,2.086075284314437
128,1.9342941689492394
129,1.5362564414906736
130,1.6766810974474777
131,1.6055769172444732
132,1.802065908108206
133,1.9938477236059196
134,2.1859143909232617
135,2.174278844849778
136,1.8874068408035436
137,2.605044477426988
138,1.4415295458338575
139,1.9829220941740762
140,2.0119043114040487
141,1.5905241302313877
142,1.6381890552255565
143,1.9575727352858823
144,1.9849770730691354
145,1.9783976353101502
146,1.6398171433557784
147,1.575052334744322
148,1.7121656593546979
149,1.7761173803703332
150,1.9453965625654153
151,1.858076240771913
152,1.635140517157462
153,2.7797955133261354
154,2.071752381746654
155,2.8536058845895056
156,1.5160454366657388
157,2.1065975151706775
158,1.58140233650259
159,1.9741167223293192
160,1.4803985846064496
161,1.621702069403023
162,1.6619808228533348
163,1.6597064996320718
164,1.7342287349095702
165,1.4255627971812443
166,1.525992926680414
167,2.7378011433309486
168,1.6371784479451343
169,1.5913812811765542
170,1.9586107678296922
171,2.022036324679811
172,1.5528764490724443
173,1.8482898029787516
174,1.7000575585428375
175,1.74362311137138
176,1.7975183232432788
177,2.3027724806156686
178,2.5123025991483026
179,2.1981442936289266
180,1.9516383758579985
181,1.6249141252748305
182,2.201670604605784
183,2.1716978325786576
184,2.483770173919976
185,2.358140868134039
186,2.1627921692712717
187,2.6579081081314535
188,2.5017868118366793
189,2.2448726457308066
190,2.0584585713788486
191,1.54109118176864
192,1.6411897869652108
193,1.7875683710612345
194,2.0049118992791852
195,2.1959658849585573
196,1.7996422948364859
197,1.998712811369295
198,1.6902467870446518
199,1.4223275897519656
200,2.661363736107389
201,1.796575294205281
202,1.9511680704248198
203,2.14899678349299
204,1.4654872713930827
205,1.8815645712123028
206,1.9048259691753615
207,1.9751058438402451
208,2.612919149806584
209,2.9289655102229726
210,1.4459510732483005
211,1.6782240944373692
212,1.9518551597518494
213,1.6252356764958291
214,1.5153524302653663
215,1.8432506996718752
216,2.871594663796355
217,1.4101878563236447
218,2.006547371798044
219,1.7563991985973164
220,1.6189372649986382
221,1.486899719536381
222,2.0171280518448667
223,2.402725224935628
224,2.0275403424640004
225,2.9293014343187544
226,2.128351133244547
227,2.468246468292099
228,2.640043988048051
229,2.308986642699039
230,1.869034666650773
231,1.6339154079072418
232,1.5555235959155127
233,2.3713476195202468
234,2.1182024012409024
235,1.8894566590378346
236,1.6072079900991778
237,1.4750106429367436
238,1.7760145250643158
239,1.8778243292775243
240,2.0942264781105586
241,2.077359998195992
242,2.6070162075606764
243,2.396003868389206
244,2.046425237540728
245,1.6887254766512363
246,1.5815540231087553
247,2.214748947945383
248,1.953710024768747
249,1.418203660719342
250,1.7882119338311258
251,1.7879546784584892
252,1.9203732377664047
253,2.0780864229472065
254,2.416547120179622
255,1.5153322369751907
256,1.6405447636834494
257,2.1816058726104077
258,1.7876361657859159
259,1.695469265232228
260,1.6188194921240877
261,2.1294880513219954
262,1.856781375212009
263,1.5671627510652184
264,2.521414681011855
265,2.590394602570204
266,2.5376308766039015
267,1.9415066552380527
268,1.7580014089578688
269,2.4632424374788386
270,1.570029094690288
271,1.5585189139679738
272,1.9292131962419667
273,1.9102166831903185
274,1.7012314193642892
275,1.9365893132429068
276,1.6571596202667493
277,1.5079511446555156
278,2.2096513693454383
279,2.4327365352669745
280,2.6765205257522173
281,1.6081885547739299
282,2.24006805982983
283,2.9291961019316095
284,2.310167336128181
285,1.8448228719910071
286,2.578205311872271
287,2.16742163333069
288,1.6745433081182404
289,1.9220852264843018
290,1.6042700140580615
291,2.395162564169133
292,1.762148321600501
293,1.5385770283863156
294,3.1839690793455078
295,2.6337437352493303
296,1.7468866349416292
297,1.955538683497601
298,1.9757539544034168
299,1.643293344970814
300,2.2765933363548716
301,1.5905121499076398
302,1.6953475109365044
303,2.587120115566527
304,2.7841089110738486
305,1.6135210826005075
306,1.6519151946898818
307,1.8766601977262247
308,1.8674842020645703
309,2.7643587660204134
310,1.5359844154708564
311,2.2591993530222694
312,1.6911831553466836
313,1.691531996989346
314,2.6025299721183495
315,2.1592086522359124
316,1.9466349601703905
317,1.5504232973993588
318,1.753144938744586
319,1.6826117509710128
320,1.5876612810380628
321,1.8937429335149947
322,1.921086187464179
323,2.0252544228652685
324,2.5456512856617763
325,2.2326765034494267
326,2.2188184041467873
327,1.9508496975316587
328,2.325413522740931
329,2.04598538023299
330,1.6687372078896983
331,1.7089253480417501
332,2.1724891084558533
333,2.542408116549041
334,1.6977718083415094
335,2.560555348073216
336,1.8293494179314127
337,1.8557490800785343
338,1.4110579383349253
339,1.9842864885656364
